employee_id,department,job_role,education_level,work_mode,city,age,years_experience,monthly_salary,training_hours,projects_completed,overtime_hours,satisfaction_score,performance_category
EMP00001,IT,Sales Executive,High School,Hybrid,Surabaya,23,28,19537826.0,17.0,19,22,2.6,Low
EMP00002,IT,Software Engineer,Bachelor,Hybrid,Jakarta,30,32,14951456.0,25.0,19,14,1.2,Low
EMP00003,Sales,Product Manager,Bachelor,Remote,Bandung,53,16,20549508.0,49.0,3,2,1.3,Low
EMP00004,IT,Software Engineer,High School,Remote,Yogyakarta,23,20,11822392.0,61.0,16,7,3.9,Low
EMP00005,IT,Product Manager,Master,Onsite,Jakarta,49,33,,27.0,2,33,5.0,Low
EMP00006,Operations,Business Analyst,Diploma,Onsite,Surabaya,24,5,,75.0,2,10,1.6,Medium
EMP00007,it,HR Officer,Bachelor,Hybrid,Jakarta,39,15,24225579.0,27.0,12,30,3.0,Medium
EMP00008,Marketing,Finance Analyst,Master,Onsite,Semarang,47,16,29371590.0,14.0,7,11,4.7,High
EMP00009,HR,Customer Success,Bachelor,Onsite,Yogyakarta,22,25,20116244.0,56.0,17,12,4.3,High
EMP00010,HR,Software Engineer,Master,Remote,Medan,22,27,17711857.0,3.0,3,11,2.1,Medium
EMP00011,Marketing,Finance Analyst,High School,Remote,Bandung,55,3,,3.0,19,30,4.4,High
EMP00012,IT,HR Officer,Bachelor,Onsite,Surabaya,44,14,7079187.0,70.0,12,27,1.8,Medium
EMP00013,HR,Software Engineer,High School,Remote,Yogyakarta,31,1,7165551.0,16.0,5,22,2.1,Medium
EMP00014,HR,Product Manager,High School,Onsite,Semarang,46,0,20115683.0,29.0,1,19,2.5,Low
EMP00015,Operations,Product Manager,High School,Hybrid,Bandung,28,29,6951206.0,60.0,1,12,2.5,Medium
EMP00016,HR,Finance Analyst,High School,Remote,Surabaya,28,24,22758150.0,13.0,12,20,1.2,Medium
EMP00017,Operations,Marketing Specialist,Master,Onsite,Bandung,53,24,7910970.0,63.0,13,13,3.7,High
EMP00018,Finance,Software Engineer,Master,Onsite,Jakarta,27,1,13557766.0,40.0,10,12,4.4,Low
EMP00019,Finance,Marketing Specialist,High School,Hybrid,Surabaya,28,13,23416379.0,1.0,9,14,2.7,High
EMP00020,Marketing,Software Engineer,Master,Onsite, jakarta ,54,3,28601169.0,69.0,1,37,,High
EMP00021,IT,Finance Analyst,Bachelor,Remote,Jakarta,56,18,21067035.0,46.0,9,17,3.3,Low
EMP00022,Finance,Data Analyst,Master,Onsite,Semarang,32,26,13562780.0,,10,3,3.9,High
EMP00023,Operations,Software Engineer,,Hybrid,Surabaya,44,25,29330681.0,3.0,3,14,1.0,Medium
EMP00024,IT,Finance Analyst,Bachelor,Hybrid,Surabaya,44,23,22668996.0,69.0,16,9,1.2,Low
EMP00025,Operations,Business Analyst,Master,Onsite,Medan,54,5,26998204.0,9.0,15,28,3.8,High
EMP00026,Sales,Product Manager,Diploma,Remote,Jakarta,57,3,13054704.0,3.0,2,37,5.0,High
